node	r(thre.)	node_cc
10	0.040000	0.981055
11	0.040000	0.981055
12	0.040000	0.981055
13	0.040000	0.988525
14	0.040000	0.981055
15	0.040000	0.981055
16	0.040000	0.981055
17	0.040000	0.981055
18	0.040000	0.984664
19	0.040000	0.981055
20	0.040000	0.981055
21	0.040000	0.981055
22	0.040000	0.981055
23	0.040000	0.981055
24	0.040000	0.981055
25	0.040000	0.981055
26	0.040000	0.981055
27	0.040000	0.981055
28	0.040000	0.981055
29	0.040000	0.989071
30	0.040000	1.000000
31	0.040000	0.994613
32	0.040000	0.981055
33	0.040000	0.998602
34	0.040000	0.981055
35	0.040000	0.990960
36	0.040000	0.992740
37	0.040000	0.981055
38	0.040000	0.993734
39	0.040000	0.981055
40	0.040000	0.981055
41	0.040000	0.989071
42	0.040000	0.981055
43	0.040000	0.981055
44	0.040000	0.981055
45	0.040000	0.981055
46	0.040000	0.981055
47	0.040000	0.990960
48	0.040000	0.981055
49	0.040000	0.981055
50	0.040000	0.981055
51	0.040000	0.981055
52	0.040000	0.992090
53	0.040000	0.981055
54	0.040000	0.981055
55	0.040000	0.981055
56	0.040000	0.981055
57	0.040000	0.981055
58	0.040000	0.981055
59	0.040000	0.990960
60	0.040000	0.981055
61	0.040000	0.988525
62	0.040000	0.981055
63	0.040000	0.989071
64	0.040000	1.000000

1	0.050000	0.993950
2	0.050000	0.983616
3	0.050000	0.974398
4	0.050000	0.994410
5	0.050000	0.974398
6	0.050000	0.974398
7	0.050000	0.974398
8	0.050000	0.974398
9	0.050000	0.974398
10	0.050000	0.974398
11	0.050000	0.974398
12	0.050000	0.974398
13	0.050000	0.981967
14	0.050000	0.974398
15	0.050000	0.974398
16	0.050000	0.974398
17	0.050000	0.974398
18	0.050000	0.983060
19	0.050000	0.974088
20	0.050000	0.974398
21	0.050000	0.974398
22	0.050000	0.974398
23	0.050000	0.974398
24	0.050000	0.974398
25	0.050000	0.974398
26	0.050000	0.978318
27	0.050000	0.974398
28	0.050000	0.974398
29	0.050000	0.983060
30	0.050000	0.999301
31	0.050000	0.993012
32	0.050000	0.974088
33	0.050000	0.996372
34	0.050000	0.974398
35	0.050000	0.991818
36	0.050000	0.990926
37	0.050000	0.974398
38	0.050000	0.993939
39	0.050000	0.974398
40	0.050000	0.974398
41	0.050000	0.987006
42	0.050000	0.974398
43	0.050000	0.974398
44	0.050000	0.974398
45	0.050000	0.974398
46	0.050000	0.974398
47	0.050000	0.985389
48	0.050000	0.974398
49	0.050000	0.974398
50	0.050000	0.974398
51	0.050000	0.974398
52	0.050000	0.991818
53	0.050000	0.974398
54	0.050000	0.978318
55	0.050000	0.974398
56	0.050000	0.974398
57	0.050000	0.974398
58	0.050000	0.974398
59	0.050000	0.986558
60	0.050000	0.974398
61	0.050000	0.981967
62	0.050000	0.974398
63	0.050000	0.987571
64	0.050000	0.998653

1	0.060000	0.991531
2	0.060000	0.987296
3	0.060000	0.975145
4	0.060000	0.995646
5	0.060000	0.970814
6	0.060000	0.970814
7	0.060000	0.970814
8	0.060000	0.970814
9	0.060000	0.970814
10	0.060000	0.970814
11	0.060000	0.970814
12	0.060000	0.970814
13	0.060000	0.981356
14	0.060000	0.970814
15	0.060000	0.970814
16	0.060000	0.970814
17	0.060000	0.970814
18	0.060000	0.980328
19	0.060000	0.971444
20	0.060000	0.970814
21	0.060000	0.970814
22	0.060000	0.970814
23	0.060000	0.970814
24	0.060000	0.970814
25	0.060000	0.970814
26	0.060000	0.975145
27	0.060000	0.970814
28	0.060000	0.970814
29	0.060000	0.980328
30	0.060000	0.997205
31	0.060000	0.994194
32	0.060000	0.974576
33	0.060000	0.997738
34	0.060000	0.970814
35	0.060000	0.989480
36	0.060000	0.993734
37	0.060000	0.970814
38	0.060000	0.993266
39	0.060000	0.970814
40	0.060000	0.970814
41	0.060000	0.989480
42	0.060000	0.970814
43	0.060000	0.970814
44	0.060000	0.970814
45	0.060000	0.970814
46	0.060000	0.970814
47	0.060000	0.984220
48	0.060000	0.970814
49	0.060000	0.970814
50	0.060000	0.970814
51	0.060000	0.970814
52	0.060000	0.989480
53	0.060000	0.971444
54	0.060000	0.974617
55	0.060000	0.970814
56	0.060000	0.970814
57	0.060000	0.970814
58	0.060000	0.970814
59	0.060000	0.984220
60	0.060000	0.970814
61	0.060000	0.979235
62	0.060000	0.970814
63	0.060000	0.985311
64	0.060000	0.999274

1	0.070000	0.989975
2	0.070000	0.994613
3	0.070000	0.968271
4	0.070000	0.992459
5	0.070000	0.963646
6	0.070000	0.964040
7	0.070000	0.968271
8	0.070000	0.963646
9	0.070000	0.963646
10	0.070000	0.963646
11	0.070000	0.969328
12	0.070000	0.963646
13	0.070000	0.980129
14	0.070000	0.963646
15	0.070000	0.963646
16	0.070000	0.963646
17	0.070000	0.963646
18	0.070000	0.974317
19	0.070000	0.964569
20	0.070000	0.963646
21	0.070000	0.967742
22	0.070000	0.963646
23	0.070000	0.963646
24	0.070000	0.963646
25	0.070000	0.963646
26	0.070000	0.968271
27	0.070000	0.963646
28	0.070000	0.963646
29	0.070000	0.974011
30	0.070000	0.998549
31	0.070000	0.995918
32	0.070000	0.971946
33	0.070000	0.994721
34	0.070000	0.963646
35	0.070000	0.984804
36	0.070000	0.994613
37	0.070000	0.963646
38	0.070000	0.992017
39	0.070000	0.963646
40	0.070000	0.963646
41	0.070000	0.984804
42	0.070000	0.963646
43	0.070000	0.963646
44	0.070000	0.963646
45	0.070000	0.969328
46	0.070000	0.963646
47	0.070000	0.980129
48	0.070000	0.963646
49	0.070000	0.963646
50	0.070000	0.963646
51	0.070000	0.963646
52	0.070000	0.984804
53	0.070000	0.964569
54	0.070000	0.983061
55	0.070000	0.963646
56	0.070000	0.963646
57	0.070000	0.963646
58	0.070000	0.963646
59	0.070000	0.983061
60	0.070000	0.963646
61	0.070000	0.972678
62	0.070000	0.963646
63	0.070000	0.984804
64	0.070000	0.999246

1	0.080000	0.987469
2	0.080000	0.995108
3	0.080000	0.965627
4	0.080000	0.990950
5	0.080000	0.960573
6	0.080000	0.960867
7	0.080000	0.965098
8	0.080000	0.960573
9	0.080000	0.960573
10	0.080000	0.960573
11	0.080000	0.966155
12	0.080000	0.960573
13	0.080000	0.977791
14	0.080000	0.960573
15	0.080000	0.960573
16	0.080000	0.960573
17	0.080000	0.960573
18	0.080000	0.971038
19	0.080000	0.961396
20	0.080000	0.960573
21	0.080000	0.967760
22	0.080000	0.960573
23	0.080000	0.960573
24	0.080000	0.960573
25	0.080000	0.960573
26	0.080000	0.972881
27	0.080000	0.960573
28	0.080000	0.960573
29	0.080000	0.970621
30	0.080000	0.997823
31	0.080000	0.992653
32	0.080000	0.969024
33	0.080000	0.991704
34	0.080000	0.960573
35	0.080000	0.982466
36	0.080000	0.993266
37	0.080000	0.960573
38	0.080000	0.992157
39	0.080000	0.960573
40	0.080000	0.960573
41	0.080000	0.982466
42	0.080000	0.960573
43	0.080000	0.960573
44	0.080000	0.960573
45	0.080000	0.966155
46	0.080000	0.960573
47	0.080000	0.979323
48	0.080000	0.960573
49	0.080000	0.960573
50	0.080000	0.960573
51	0.080000	0.960573
52	0.080000	0.982466
53	0.080000	0.961396
54	0.080000	0.980641
55	0.080000	0.965627
56	0.080000	0.960573
57	0.080000	0.960573
58	0.080000	0.965627
59	0.080000	0.980641
60	0.080000	0.960573
61	0.080000	0.974011
62	0.080000	0.960573
63	0.080000	0.982466
64	0.080000	0.999216

1	0.090000	0.982456
2	0.090000	0.990915
3	0.090000	0.959281
4	0.090000	0.989388
5	0.090000	0.953405
6	0.090000	0.955191
7	0.090000	0.958752
8	0.090000	0.953405
9	0.090000	0.953405
10	0.090000	0.953405
11	0.090000	0.958752
12	0.090000	0.953405
13	0.090000	0.971805
14	0.090000	0.953405
15	0.090000	0.953405
16	0.090000	0.953405
17	0.090000	0.953405
18	0.090000	0.963934
19	0.090000	0.955579
20	0.090000	0.953405
21	0.090000	0.969024
22	0.090000	0.953405
23	0.090000	0.953405
24	0.090000	0.959281
25	0.090000	0.953405
26	0.090000	0.971946
27	0.090000	0.953405
28	0.090000	0.963277
29	0.090000	0.963842
30	0.090000	0.995646
31	0.090000	0.985306
32	0.090000	0.964935
33	0.090000	0.987451
34	0.090000	0.953405
35	0.090000	0.978826
36	0.090000	0.989226
37	0.090000	0.957377
38	0.090000	0.988235
39	0.090000	0.959281
40	0.090000	0.953405
41	0.090000	0.976037
42	0.090000	0.953405
43	0.090000	0.953405
44	0.090000	0.953405
45	0.090000	0.958752
46	0.090000	0.953405
47	0.090000	0.973684
48	0.090000	0.953405
49	0.090000	0.953405
50	0.090000	0.953405
51	0.090000	0.953405
52	0.090000	0.976037
53	0.090000	0.955579
54	0.090000	0.975564
55	0.090000	0.960656
56	0.090000	0.953405
57	0.090000	0.953405
58	0.090000	0.959281
59	0.090000	0.975325
60	0.090000	0.953405
61	0.090000	0.967232
62	0.090000	0.953405
63	0.090000	0.979950
64	0.090000	0.998299

1	0.100000	0.977444
2	0.100000	0.994920
3	0.100000	0.952406
4	0.100000	0.984490
5	0.100000	0.949762
6	0.100000	0.949180
7	0.100000	0.951877
8	0.100000	0.949762
9	0.100000	0.946749
10	0.100000	0.950291
11	0.100000	0.952406
12	0.100000	0.946749
13	0.100000	0.972424
14	0.100000	0.946749
15	0.100000	0.946749
16	0.100000	0.946749
17	0.100000	0.946749
18	0.100000	0.957923
19	0.100000	0.954098
20	0.100000	0.946749
21	0.100000	0.967332
22	0.100000	0.946749
23	0.100000	0.946749
24	0.100000	0.952406
25	0.100000	0.946749
26	0.100000	0.964933
27	0.100000	0.946749
28	0.100000	0.959887
29	0.100000	0.957627
30	0.100000	0.994920
31	0.100000	0.982143
32	0.100000	0.968070
33	0.100000	0.982857
34	0.100000	0.946749
35	0.100000	0.978070
36	0.100000	0.993012
37	0.100000	0.954098
38	0.100000	0.984314
39	0.100000	0.955191
40	0.100000	0.946749
41	0.100000	0.974592
42	0.100000	0.946749
43	0.100000	0.946749
44	0.100000	0.946749
45	0.100000	0.957923
46	0.100000	0.946749
47	0.100000	0.967419
48	0.100000	0.946749
49	0.100000	0.946749
50	0.100000	0.946749
51	0.100000	0.946749
52	0.100000	0.969608
53	0.100000	0.950291
54	0.100000	0.973377
55	0.100000	0.961017
56	0.100000	0.946749
57	0.100000	0.946749
58	0.100000	0.952406
59	0.100000	0.968553
60	0.100000	0.946749
61	0.100000	0.960452
62	0.100000	0.946749
63	0.100000	0.979125
64	0.100000	0.998299

1	0.110000	0.969925
2	0.110000	0.991292
3	0.110000	0.940772
4	0.110000	0.975340
5	0.110000	0.939714
6	0.110000	0.939548
7	0.110000	0.946448
8	0.110000	0.939714
9	0.110000	0.935484
10	0.110000	0.940243
11	0.110000	0.960257
12	0.110000	0.935484
13	0.110000	0.964706
14	0.110000	0.940772
15	0.110000	0.935484
16	0.110000	0.935484
17	0.110000	0.935484
18	0.110000	0.948087
19	0.110000	0.944809
20	0.110000	0.941808
21	0.110000	0.976623
22	0.110000	0.935484
23	0.110000	0.935484
24	0.110000	0.940772
25	0.110000	0.935484
26	0.110000	0.955838
27	0.110000	0.935484
28	0.110000	0.958863
29	0.110000	0.949153
30	0.110000	0.994721
31	0.110000	0.978723
32	0.110000	0.956735
33	0.110000	0.977837
34	0.110000	0.935484
35	0.110000	0.976623
36	0.110000	0.991292
37	0.110000	0.951977
38	0.110000	0.977041
39	0.110000	0.947973
40	0.110000	0.935484
41	0.110000	0.974026
42	0.110000	0.935484
43	0.110000	0.935484
44	0.110000	0.940243
45	0.110000	0.948087
46	0.110000	0.935484
47	0.110000	0.958442
48	0.110000	0.935484
49	0.110000	0.935484
50	0.110000	0.935484
51	0.110000	0.935484
52	0.110000	0.960842
53	0.110000	0.940243
54	0.110000	0.961039
55	0.110000	0.957919
56	0.110000	0.935484
57	0.110000	0.935484
58	0.110000	0.940772
59	0.110000	0.966275
60	0.110000	0.935484
61	0.110000	0.952659
62	0.110000	0.939714
63	0.110000	0.973737
64	0.110000	0.996599

1	0.120000	0.959740
2	0.120000	0.985671
3	0.120000	0.927322
4	0.120000	0.962766
5	0.120000	0.924044
6	0.120000	0.923559
7	0.120000	0.946158
8	0.120000	0.922792
9	0.120000	0.918587
10	0.120000	0.925436
11	0.120000	0.949788
12	0.120000	0.918587
13	0.120000	0.954787
14	0.120000	0.930601
15	0.120000	0.918587
16	0.120000	0.918587
17	0.120000	0.918587
18	0.120000	0.940970
19	0.120000	0.936158
20	0.120000	0.932203
21	0.120000	0.963636
22	0.120000	0.918587
23	0.120000	0.918587
24	0.120000	0.923321
25	0.120000	0.918587
26	0.120000	0.952597
27	0.120000	0.920148
28	0.120000	0.952189
29	0.120000	0.933454
30	0.120000	0.990588
31	0.120000	0.966184
32	0.120000	0.944444
33	0.120000	0.964847
34	0.120000	0.918587
35	0.120000	0.962987
36	0.120000	0.984035
37	0.120000	0.954023
38	0.120000	0.966184
39	0.120000	0.934007
40	0.120000	0.925436
41	0.120000	0.976240
42	0.120000	0.918587
43	0.120000	0.925683
44	0.120000	0.925436
45	0.120000	0.938632
46	0.120000	0.918587
47	0.120000	0.945573
48	0.120000	0.918587
49	0.120000	0.918587
50	0.120000	0.918587
51	0.120000	0.919619
52	0.120000	0.956140
53	0.120000	0.931148
54	0.120000	0.947589
55	0.120000	0.947368
56	0.120000	0.918587
57	0.120000	0.918587
58	0.120000	0.923321
59	0.120000	0.948571
60	0.120000	0.918587
61	0.120000	0.934416
62	0.120000	0.934463
63	0.120000	0.964310
64	0.120000	0.991497

1	0.130000	0.960168
2	0.130000	0.978884
3	0.130000	0.913501
4	0.130000	0.947271
5	0.130000	0.908743
6	0.130000	0.926625
7	0.130000	0.949351
8	0.130000	0.906928
9	0.130000	0.918579
10	0.130000	0.916940
11	0.130000	0.939223
12	0.130000	0.901178
13	0.130000	0.937984
14	0.130000	0.913661
15	0.130000	0.906399
16	0.130000	0.901178
17	0.130000	0.910629
18	0.130000	0.924985
19	0.130000	0.938294
20	0.130000	0.922932
21	0.130000	0.951299
22	0.130000	0.901178
23	0.130000	0.901178
24	0.130000	0.906557
