1	0.010000	0	0.
2	0.010000	0	0.
3	0.010000	0	0.
4	0.010000	0	0.
5	0.010000	0	0.
6	0.010000	0	0.
7	0.010000	0	0.
8	0.010000	0	0.
9	0.010000	0	0.
10	0.010000	0	0.
11	0.010000	0	0.
12	0.010000	0	0.
13	0.010000	0	0.
14	0.010000	0	0.
15	0.010000	0	0.
16	0.010000	0	0.
17	0.010000	0	0.
18	0.010000	0	0.
19	0.010000	0	0.
20	0.010000	0	0.
21	0.010000	0	0.
22	0.010000	0	0.
23	0.010000	0	0.
24	0.010000	0	0.
25	0.010000	0	0.
26	0.010000	0	0.
27	0.010000	0	0.
28	0.010000	0	0.
29	0.010000	0	0.
30	0.010000	0	0.
31	0.010000	0	0.
32	0.010000	1	0.011111
33	0.010000	0	0.
34	0.010000	0	0.
35	0.010000	0	0.
36	0.010000	2	0.022222
37	0.010000	0	0.
38	0.010000	0	0.
39	0.010000	1	0.011111
40	0.010000	0	0.
41	0.010000	0	0.
42	0.010000	1	0.011111
43	0.010000	0	0.
44	0.010000	1	0.011111
45	0.010000	0	0.
46	0.010000	0	0.
47	0.010000	5	0.055556
48	0.010000	2	0.022222
49	0.010000	1	0.011111
50	0.010000	1	0.011111
51	0.010000	1	0.011111
52	0.010000	3	0.033333
53	0.010000	1	0.011111
54	0.010000	3	0.033333
55	0.010000	3	0.033333
56	0.010000	3	0.033333
57	0.010000	2	0.022222
58	0.010000	3	0.033333
59	0.010000	1	0.011111
60	0.010000	0	0.
61	0.010000	7	0.077778
62	0.010000	8	0.088889
63	0.010000	1	0.011111
64	0.010000	2	0.022222
65	0.010000	1	0.011111
66	0.010000	4	0.044444
67	0.010000	1	0.011111
68	0.010000	0	0.
69	0.010000	3	0.033333
70	0.010000	2	0.022222
71	0.010000	1	0.011111
72	0.010000	4	0.044444
73	0.010000	7	0.077778
74	0.010000	0	0.
75	0.010000	4	0.044444
76	0.010000	0	0.
77	0.010000	2	0.022222
78	0.010000	4	0.044444
79	0.010000	1	0.011111
80	0.010000	1	0.011111
81	0.010000	1	0.011111
82	0.010000	1	0.011111
83	0.010000	0	0.
84	0.010000	0	0.
85	0.010000	0	0.
86	0.010000	0	0.
87	0.010000	0	0.
88	0.010000	0	0.
89	0.010000	0	0.
90	0.010000	0	0.
1	0.020000	0	0.
2	0.020000	0	0.
3	0.020000	0	0.
4	0.020000	0	0.
5	0.020000	0	0.
6	0.020000	0	0.
7	0.020000	0	0.
8	0.020000	0	0.
9	0.020000	0	0.
10	0.020000	0	0.
11	0.020000	0	0.
12	0.020000	0	0.
13	0.020000	0	0.
14	0.020000	0	0.
15	0.020000	0	0.
16	0.020000	0	0.
17	0.020000	0	0.
18	0.020000	0	0.
19	0.020000	0	0.
20	0.020000	0	0.
21	0.020000	0	0.
22	0.020000	0	0.
23	0.020000	0	0.
24	0.020000	0	0.
25	0.020000	0	0.
26	0.020000	0	0.
27	0.020000	0	0.
28	0.020000	0	0.
29	0.020000	0	0.
30	0.020000	1	0.011111
31	0.020000	0	0.
32	0.020000	0	0.
33	0.020000	1	0.011111
34	0.020000	0	0.
35	0.020000	1	0.011111
36	0.020000	0	0.
37	0.020000	0	0.
38	0.020000	0	0.
39	0.020000	3	0.033333
40	0.020000	1	0.011111
41	0.020000	1	0.011111
42	0.020000	2	0.022222
43	0.020000	4	0.044444
44	0.020000	1	0.011111
45	0.020000	2	0.022222
46	0.020000	3	0.033333
47	0.020000	2	0.022222
48	0.020000	3	0.033333
49	0.020000	1	0.011111
50	0.020000	3	0.033333
51	0.020000	3	0.033333
52	0.020000	0	0.
53	0.020000	2	0.022222
54	0.020000	1	0.011111
55	0.020000	2	0.022222
56	0.020000	3	0.033333
57	0.020000	3	0.033333
58	0.020000	3	0.033333
59	0.020000	5	0.055556
60	0.020000	2	0.022222
61	0.020000	3	0.033333
62	0.020000	1	0.011111
63	0.020000	3	0.033333
64	0.020000	2	0.022222
65	0.020000	2	0.022222
66	0.020000	3	0.033333
67	0.020000	3	0.033333
68	0.020000	0	0.
69	0.020000	3	0.033333
70	0.020000	4	0.044444
71	0.020000	4	0.044444
72	0.020000	1	0.011111
73	0.020000	0	0.
74	0.020000	0	0.
75	0.020000	3	0.033333
76	0.020000	2	0.022222
77	0.020000	1	0.011111
78	0.020000	2	0.022222
79	0.020000	0	0.
80	0.020000	0	0.
81	0.020000	0	0.
82	0.020000	0	0.
83	0.020000	0	0.
84	0.020000	0	0.
85	0.020000	0	0.
86	0.020000	0	0.
87	0.020000	0	0.
88	0.020000	0	0.
89	0.020000	0	0.
90	0.020000	0	0.
1	0.030000	0	0.
2	0.030000	0	0.
3	0.030000	0	0.
4	0.030000	0	0.
5	0.030000	0	0.
6	0.030000	0	0.
7	0.030000	0	0.
8	0.030000	0	0.
9	0.030000	0	0.
10	0.030000	0	0.
11	0.030000	0	0.
12	0.030000	0	0.
13	0.030000	0	0.
14	0.030000	0	0.
15	0.030000	0	0.
16	0.030000	0	0.
17	0.030000	0	0.
18	0.030000	0	0.
19	0.030000	0	0.
20	0.030000	0	0.
21	0.030000	0	0.
22	0.030000	0	0.
23	0.030000	0	0.
24	0.030000	0	0.
25	0.030000	0	0.
26	0.030000	0	0.
27	0.030000	1	0.011111
28	0.030000	0	0.
29	0.030000	1	0.011111
30	0.030000	0	0.
31	0.030000	1	0.011111
32	0.030000	1	0.011111
33	0.030000	0	0.
34	0.030000	4	0.044444
35	0.030000	1	0.011111
36	0.030000	1	0.011111
37	0.030000	0	0.
38	0.030000	2	0.022222
39	0.030000	3	0.033333
